"tissue","sample","individual","cor","dev","outlier"
"CRBLM","GSM394928","4924",0.99263884596504,632.328281491878,FALSE
"PONS","GSM395122","719",0.990875354910023,632.203583480903,FALSE
"TCTX","GSM395356","4540",0.991024845805859,629.844065055123,FALSE
"CRBLM","GSM394925","4727",0.992767088971965,626.61672947351,FALSE
"CRBLM","GSM394929","5024",0.994069233401639,625.293773271829,FALSE
"TCTX","GSM395310","1603",0.991791209990867,622.846981473919,FALSE
"CRBLM","GSM394869","1595",0.992458439753441,621.087726710245,FALSE
"TCTX","GSM395265","713",0.991112487119242,619.751941460176,FALSE
"TCTX","GSM395363","4598",0.991099658954182,618.734600713807,FALSE
"TCTX","GSM395364","4636",0.991933283506521,618.179451961472,FALSE
"TCTX","GSM395293","1226",0.991833999727558,616.365012355666,FALSE
"CRBLM","GSM394835","927",0.992523462153604,609.784240216977,FALSE
"FCTX","GSM395015","1571",0.993335497129374,609.678138634946,FALSE
"FCTX","GSM395043","1889",0.992466614743049,609.147041695506,FALSE
"FCTX","GSM395053","1961",0.992759638174846,608.957831751665,FALSE
"CRBLM","GSM394931","5078",0.99332779049141,608.714324766039,FALSE
"TCTX","GSM395308","1579",0.991396584797275,605.870229784152,FALSE
"CRBLM","GSM394894","1889",0.992846915011321,605.653589943377,FALSE
"FCTX","GSM394992","1079",0.992382636453789,605.642327787736,FALSE
"CRBLM","GSM394920","4593",0.993502804646422,605.453075587293,FALSE
"TCTX","GSM395374","5078",0.991456799674752,602.576412115602,FALSE
"FCTX","GSM395029","1712",0.992406281267555,602.261921941854,FALSE
"CRBLM","GSM394850","1170",0.993453773036897,601.438593235196,FALSE
"TCTX","GSM395350","2037",0.992252488477125,599.119309357017,FALSE
"TCTX","GSM395366","4725",0.991740017756477,598.442847514625,FALSE
"FCTX","GSM395056","2037",0.993212906376888,597.83251869702,FALSE
"TCTX","GSM395340","1907",0.991484639474783,593.105458127923,FALSE
"FCTX","GSM394986","994",0.993294733681463,591.62659018292,FALSE
"TCTX","GSM395291","1206",0.991765860973271,590.484818527073,FALSE
"FCTX","GSM395000","1206",0.992623418296639,590.345407039438,FALSE
"TCTX","GSM395270","827",0.9921344190306,589.039383588469,FALSE
"TCTX","GSM395240","1361",0.99209693079358,588.108763812733,FALSE
"FCTX","GSM395027","1672",0.99280263818373,588.010995190827,FALSE
"FCTX","GSM395057","2066",0.992903921494728,587.770485131224,FALSE
"CRBLM","GSM394827","745",0.992828579913248,586.684148982619,FALSE
"FCTX","GSM395072","4725",0.992604035283269,584.29982993259,FALSE
"CRBLM","GSM394855","1326",0.993060885334194,583.773803789416,FALSE
"FCTX","GSM394983","927",0.99317499930384,574.682227310741,FALSE
"CRBLM","GSM394927","4916",0.993232882523929,569.700436998556,FALSE
"TCTX","GSM395318","1668",0.991820110219432,569.476127730684,FALSE
"CRBLM","GSM394886","1802",0.993845843091207,567.219087663566,FALSE
"CRBLM","GSM394906","2000",0.993078082173248,566.228613045834,FALSE
"CRBLM","GSM394921","4598",0.99313349530227,560.987848659957,FALSE
"TCTX","GSM395315","1640",0.99235536559124,560.703297880192,FALSE
"CRBLM","GSM394875","1640",0.993126626811251,560.298984603961,FALSE
"TCTX","GSM395276","933",0.992002994255966,559.409979070133,FALSE
"TCTX","GSM395274","914",0.992509256671942,559.28594885048,FALSE
"FCTX","GSM395069","4598",0.993342128001612,558.224536729437,FALSE
"FCTX","GSM395017","1579",0.993167646544103,555.394089093217,FALSE
"FCTX","GSM395063","4542",0.993245903059748,553.807504460058,FALSE
"CRBLM","GSM394898","1909",0.993414539737452,552.027975427913,FALSE
"CRBLM","GSM394846","1105",0.994274735719264,547.751940333271,FALSE
"TCTX","GSM395347","1961",0.992410344404315,542.358124500787,FALSE
"TCTX","GSM395309","1595",0.992162322139583,540.810338397187,FALSE
"TCTX","GSM395304","1556",0.992928749029483,539.962770458105,FALSE
"CRBLM","GSM394878","1668",0.993446476865297,537.521946545461,FALSE
"CRBLM","GSM394864","1556",0.993634581441445,536.066753872257,FALSE
"FCTX","GSM395046","1907",0.993525674488615,535.789281274481,FALSE
"TCTX","GSM395320","1710",0.993325071706259,533.753046812669,FALSE
"TCTX","GSM395303","1545",0.99271378314166,529.035515696422,FALSE
"TCTX","GSM395362","4593",0.992954019963553,528.234013248626,FALSE
"CRBLM","GSM394870","1603",0.993807539770218,525.523353224319,FALSE
"CRBLM","GSM394824","712",0.994149770869866,525.307741304313,FALSE
"FCTX","GSM395028","1710",0.993530056551048,521.547702415834,FALSE
"FCTX","GSM395024","1648",0.993652144134366,520.266602098358,FALSE
"TCTX","GSM395307","1578",0.993311703696456,513.415413110036,FALSE
"CRBLM","GSM394876","1648",0.994024413095484,512.698136665786,FALSE
"CRBLM","GSM394926","4842",0.994406433467885,511.789455614232,FALSE
"FCTX","GSM395019","1603",0.993794560901606,506.12318773298,FALSE
"FCTX","GSM394993","1104",0.993760977171464,503.856848247126,FALSE
"FCTX","GSM395037","1838",0.993675878242156,503.644412495228,FALSE
"CRBLM","GSM394901","1935",0.993819820161627,502.890998894544,FALSE
"TCTX","GSM395341","1909",0.992845433794716,502.630852284902,FALSE
"CRBLM","GSM394838","994",0.994511361808972,501.796385506651,FALSE
"CRBLM","GSM394867","1578",0.993906944118412,498.955134386782,FALSE
"FCTX","GSM394977","819",0.993838945294473,498.380706506468,FALSE
"FCTX","GSM395080","5028",0.993902380697994,495.393572106224,FALSE
"FCTX","GSM395013","1556",0.994903962133366,494.401720840126,FALSE
"TCTX","GSM395282","1076",0.994180473145324,486.882582985475,FALSE
"FCTX","GSM395016","1578",0.993988196296871,486.381103664889,FALSE
"TCTX","GSM395272","879",0.993597879349108,485.03594815962,FALSE
"FCTX","GSM395077","4916",0.99448543634873,479.482225283141,FALSE
"FCTX","GSM395050","1936",0.994632446265875,478.9456714257,FALSE
"TCTX","GSM395278","994",0.993139464378251,472.858667386648,FALSE
"CRBLM","GSM394845","1104",0.994311729952766,466.407536980475,FALSE
"TCTX","GSM395285","1105",0.993405062825982,465.375717092103,FALSE
"TCTX","GSM395271","871",0.993348678107272,462.254457070793,FALSE
"FCTX","GSM394997","1134",0.994462648501365,458.761481158416,FALSE
"FCTX","GSM395055","2020",0.994303980826381,457.599916843403,FALSE
"CRBLM","GSM394847","1114",0.99442911958974,454.135352338528,FALSE
"FCTX","GSM395067","4590",0.99434620296524,449.366560730948,FALSE
"TCTX","GSM395287","1133",0.994369020426493,438.935165976732,FALSE
"TCTX","GSM395288","1134",0.995168081710551,429.11597304542,FALSE
"CRBLM","GSM394828","813",0.995409430559418,428.312939978236,FALSE
"FCTX","GSM395049","1935",0.994713814044104,428.060717059238,FALSE
"FCTX","GSM395033","1795",0.994604608575136,427.694082602856,FALSE
"FCTX","GSM394980","879",0.994957012335621,421.725704981226,FALSE
"FCTX","GSM394978","827",0.994874613661413,421.411447391755,FALSE
"TCTX","GSM395351","2066",0.994235323734288,415.54685189821,FALSE
"TCTX","GSM395342","1924",0.994241846981259,396.839447971811,FALSE
"FCTX","GSM394967","142",0.995089399939754,388.538786842852,FALSE
"TCTX","GSM395343","1935",0.994963961711092,380.523727721201,FALSE
"TCTX","GSM395269","819",0.994617471340699,375.906171859593,FALSE
"CRBLM","GSM394834","914",0.995428255673623,372.125631183088,FALSE
"CRBLM","GSM394902","1936",0.995482177835586,371.674013384114,FALSE
"TCTX","GSM395344","1936",0.995841545224679,322.999387014428,FALSE
"TCTX","GSM395283","1079",0.995858937117565,310.799282613677,FALSE
