"tissue","sample","individual","r","outlier"
"FCTX","GSM395001","1209",0.968213366713811,FALSE
"FCTX","GSM395002","1226",0.991111803515402,FALSE
"FCTX","GSM394946","1230",0.977814147450081,FALSE
"FCTX","GSM395003","1260",0.955272431625731,FALSE
"FCTX","GSM395004","1326",0.990139444857477,FALSE
"FCTX","GSM394947","1344",0.876206908371849,TRUE
"FCTX","GSM394948","1361",0.99056198878835,FALSE
"FCTX","GSM395005","1454",0.990751806003006,FALSE
"FCTX","GSM395006","1465",0.977774701962581,FALSE
"FCTX","GSM395085","1486",0.981306589802275,FALSE
"FCTX","GSM395007","1496",0.981747212048409,FALSE
"FCTX","GSM394949","1498",0.925079625904806,FALSE
"FCTX","GSM395008","1502",0.988784899553221,FALSE
"FCTX","GSM395009","1535",0.959675819473129,FALSE
"FCTX","GSM395010","1540",0.987372659420106,FALSE
"FCTX","GSM395011","1544",0.990527023302022,FALSE
"FCTX","GSM395012","1545",0.988572875135562,FALSE
"FCTX","GSM395013","1556",0.994912446045986,FALSE
"FCTX","GSM395014","1568",0.991007690392839,FALSE
"FCTX","GSM394950","1570",0.932800850835961,FALSE
"FCTX","GSM395015","1571",0.992966979341001,FALSE
"FCTX","GSM395016","1578",0.993676292309612,FALSE
"FCTX","GSM395017","1579",0.993041220917069,FALSE
"FCTX","GSM395082","1583",0.969252635934264,FALSE
"FCTX","GSM394951","1584",0.987002684670682,FALSE
"FCTX","GSM395018","1595",0.991285862554944,FALSE
"FCTX","GSM395019","1603",0.993419562488982,FALSE
"FCTX","GSM395020","1611",0.987285144695661,FALSE
"FCTX","GSM395021","1612",0.957490796209697,FALSE
"FCTX","GSM395022","1613",0.957988301346702,FALSE
"FCTX","GSM395023","1614",0.925459210237302,FALSE
"FCTX","GSM395086","1640",0.992283391322427,FALSE
"FCTX","GSM395024","1648",0.993596313092167,FALSE
"FCTX","GSM395025","1652",0.987849735729952,FALSE
"FCTX","GSM395026","1668",0.988525100740494,FALSE
"FCTX","GSM395027","1672",0.992754069915881,FALSE
"FCTX","GSM395028","1710",0.993441215760256,FALSE
"FCTX","GSM395029","1712",0.992055516254295,FALSE
"FCTX","GSM395030","1713",0.968811885770496,FALSE
"FCTX","GSM395083","1715",0.991764352833678,FALSE
"FCTX","GSM395031","1775",0.984591125316647,FALSE
"FCTX","GSM395032","1792",0.989623167908803,FALSE
"FCTX","GSM395033","1795",0.99461120898427,FALSE
"FCTX","GSM395034","1802",0.989319068385697,FALSE
"FCTX","GSM394952","1805",0.971013812327378,FALSE
"FCTX","GSM395087","1825",0.988088225404105,FALSE
"FCTX","GSM395035","1827",0.986121653483145,FALSE
"FCTX","GSM395036","1830",0.884302917576498,TRUE
"FCTX","GSM395037","1838",0.993585399693716,FALSE
"FCTX","GSM394953","1839",0.982399857939761,FALSE
"FCTX","GSM395038","1840",0.952970925153922,FALSE
"FCTX","GSM395039","1846",0.970567628807567,FALSE
"FCTX","GSM394954","1847",0.90858186296701,FALSE
"FCTX","GSM395040","1849",0.990719655686228,FALSE
"FCTX","GSM395041","1862",0.975697118004477,FALSE
"FCTX","GSM394955","1865",0.920027436838503,FALSE
"FCTX","GSM394956","1866",0.964026071602608,FALSE
"FCTX","GSM395089","1867",0.98348012727256,FALSE
"FCTX","GSM395042","1883",0.983672509089637,FALSE
"FCTX","GSM395043","1889",0.992341414426794,FALSE
"FCTX","GSM395044","1902",0.977551799014601,FALSE
"FCTX","GSM395045","1903",0.988634500767787,FALSE
"FCTX","GSM395046","1907",0.993411971709974,FALSE
"FCTX","GSM395047","1909",0.992513798035025,FALSE
"FCTX","GSM395048","1917",0.98716839014062,FALSE
"FCTX","GSM395090","1924",0.982816402149262,FALSE
"FCTX","GSM395049","1935",0.99468745601032,FALSE
